,varname1,varval1,lift,cumlift,booster
1576,isolation_source:air-conditioner,0,1.0005553395901594,1.0005553395901594,x1.0
1577,isolation_source:airways,0,1.0032412872543928,1.0032412872543928,x1.0
1578,isolation_source:algae,0,0.9877436366926381,0.9877436366926381,/1.0
1579,isolation_source:algae,1,3.7480298580518845,3.7480298580518845,x3.7
1580,isolation_source:alkaline,0,0.9999320815811431,0.9999320815811431,/1.0
1581,isolation_source:alkaline,1,1.0042868365724118,1.0042868365724118,x1.0
1582,isolation_source:alpine,0,1.0015008337965536,1.0015008337965536,x1.0
1583,isolation_source:amniotic-fluid,0,1.0004997778764995,1.0004997778764995,x1.0
1584,isolation_source:amphibia,0,1.0005553395901594,1.0005553395901594,x1.0
1585,isolation_source:anaerobic-digestor,0,1.0053007476844102,1.0053007476844102,x1.0
1586,isolation_source:animal-feed,0,1.0008888395089162,1.0008888395089162,x1.0
1587,"isolation_source:animal-habitation-nest,burrow",0,0.999676979361405,0.999676979361405,/1.0
1588,isolation_source:animal-produced-food-natural,0,1.0005553395901594,1.0005553395901594,x1.0
1589,isolation_source:ankle,0,0.9997879805805212,0.9997879805805212,/1.0
1590,isolation_source:annelida,0,1.0008300217775778,1.0008300217775778,x1.0
1591,isolation_source:anoxic-anaerobic,0,1.0172194571213982,1.0172194571213982,x1.0
1592,isolation_source:antibiotic-treatment,0,1.000277592715967,1.000277592715967,x1.0
1593,isolation_source:aquaculture,0,0.9883540055574146,0.9883540055574146,/1.0
1594,isolation_source:aquaculture,1,3.0866128242780224,3.0866128242780224,x3.1
1595,isolation_source:aquatic,0,1.0003384260608847,1.0003384260608847,x1.0
1596,isolation_source:aquatic,1,0.991974335060936,0.991974335060936,/1.0
